MFSY_09	<-- -->	Manna Distribution Services - Delivery and Install
MFSY_DS	<-- -->	Manna Distribution Services - Threshold Service
MFAF	<-- -->	Matheson Fast Freight Inc.
MXZN_G2	<-- -->	Mazin Furniture - Basic Service
MXZN_09	<-- -->	Mazin Furniture - Delivery and Install
MXZN_DS	<-- -->	Mazin Furniture - Threshold Service
MDLD	<-- -->	Midland Transport LTL Service
MTVL_G2	<-- -->	Mountain Valley Express - Basic Service
NLSJ_G2	<-- -->	National Logistics Services - Basic Service
NLSJ_09	<-- -->	National Logistics Services - Delivery and Install
NLSJ_DS	<-- -->	National Logistics Services - Threshold Service
NEBT_DS	<-- -->	Nebraska Trucking Company - Threshold
NEMF_G2	<-- -->	New England Motor Freight - Basic Service
NPME_G2	<-- -->	New Penn Motor Express - Basic Service
NDLV_G2	<-- -->	NonstopDelivery - Basic Service
NDLV_GP	<-- -->	NonstopDelivery - Delivery, Install and Haul Away
NDLV_DS	<-- -->	NonstopDelivery - Threshold Service
NORM	<-- -->	Normandin truck carrier
NUMK_G2	<-- -->	Numark Transportation - Basic Service
NVCP_G2	<-- -->	NVC Logistics - Basic Service
NVCP_09	<-- -->	NVC Logistics - Delivery and Install
NVCP_DS	<-- -->	NVC Logistics - Threshold Service
OAKH_G2	<-- -->	Oak Harbor Freight Lines, Inc. - Basic Service
ODFL	<-- -->	Old Dominion
ODFL_G2	<-- -->	Old Dominion - Basic Service
ODFL_09	<-- -->	Old Dominion - Delivery and Install
ODFL_DS	<-- -->	Old Dominion - Threshold Service
EMSY_G2	<-- -->	Ontrac - Basic Service
OTHR	<-- -->	Other
OVNT	<-- -->	Overnite
PENS_G2	<-- -->	Peninsula Truck Lines - Basic Service
PTSL_G2	<-- -->	Penner International - Basic Service
PAAF	<-- -->	Pilot Freight Services
PAAF_G2	<-- -->	Pilot Freight Services - Basic Service
PAAF_09	<-- -->	Pilot Freight Services - Delivery and Install
PAAF_DS	<-- -->	Pilot Freight Services - Threshold Service
PITD	<-- -->	PITT Ohio
DPIT	<-- -->	PITT Ohio/Direct Ship
PCLH	<-- -->	Platinum Cargo Logistics
PCLH_09	<-- -->	Platinum Cargo Logistics - Delivery and Install
PCLH_DS	<-- -->	Platinum Cargo Logistics - Threshold Service
PLYC_09	<-- -->	Plycon Transportation - Delivery and Install
ATVL_G2	<-- -->	Primex Global Services - Basic Service
PAXA	<-- -->	Priority Solutions International
PRLA_SE	<-- -->	Purolator Courier, 2nd day
PRLA_CG	<-- -->	Purolator Courier, ground
PRFR_G2	<-- -->	Purolator Freight - Basic Service
QKNE_ND	<-- -->	QRC Logistics Ltd. - Next Day
QXTI	<-- -->	QuikX Transportation
QXTI_G2	<-- -->	QuikX Transportation - Basic Service
RNLO	<-- -->	R & L Carriers
RNLO_SE	<-- -->	R & L Carriers - 2nd Day
RNLO_G2	<-- -->	R & L Carriers - Basic Service
RNLO_ND	<-- -->	R & L Carriers - Next Day
RNLO_DS	<-- -->	R & L Carriers - Threshold Service
RDFS	<-- -->	Road Runner
RDFS_09	<-- -->	Road Runner - Delivery and Install
RDFS_DS	<-- -->	Road Runner - Threshold Service
RDWY	<-- -->	Roadway
TRRB	<-- -->	Robert Transport
SAIA	<-- -->	Saia Motor Freight
SDCR_09	<-- -->	Sameday Worldwide - Delivery and Install
SDCR_CG	<-- -->	Sameday Worldwide - Expedited Ground
SDCR_DS	<-- -->	Sameday Worldwide - Threshold Service
SEUE	<-- -->	Security Express
SEKW_09	<-- -->	Seko - Delivery, Install, Haul Away
SEKW_DS	<-- -->	Seko - Threshold Service
SEKW	<-- -->	Seko Standard
SNDY	<-- -->	Select Thibodeau
SNDY_G2	<-- -->	Select Thibodeau - Basic Service
SVBA	<-- -->	Service By Air
SBDA_G2	<-- -->	Service by Dawn - Basic Service
SBDA_09	<-- -->	Service by Dawn - Delivery and Install
SBDA_DS	<-- -->	Service by Dawn - Threshold Service
SHA	<-- -->	Shaw private carrier
SMTM_CG	<-- -->	Smart Mail (USPS Affiliate)
SEFL	<-- -->	Southeastern Freight Lines
SEFL_G2	<-- -->	Southeastern Freight Lines - Basic Service
SMF_ND	<-- -->	Special Moments Flowers & Gifts Ltd.
SPCG	<-- -->	Specialized Transportation
SPCG_09	<-- -->	Specialized Transportation - Delivery and Install
SPCG_DS	<-- -->	Specialized Transportation - Threshold Service
SPED	<-- -->	Spee Dee Delivery Service, Inc.
SSDS_G2	<-- -->	Speedy Spa Delivery - Basic Service
BUFM_G2	<-- -->	Speedy Transport - Basic Service
BUFM_DS	<-- -->	Speedy Transport - Threshold Service
SUND_09	<-- -->	Sun Delivery, Inc. - Delivery and Install
SXLX_G2	<-- -->	Suntrax Logistics - Basic Service
SXLX_09	<-- -->	Suntrax Logistics - Delivery and Install
SXLX_DS	<-- -->	Suntrax Logistics - Threshold Service
